"AMTRAK","IYR","IMO","RAILROAD","INCDTNO","IYR2","IMO2","RR2","INCDTNO2","IYR3","IMO3","RR3","INCDTNO3","DUMMY1","GXID","YEAR","MONTH","DAY","TIMEHR","TIMEMIN","AMPM","TYPE","CARS","CARSDMG","CARSHZD","EVACUATE","DIVISION","STATION","MILEPOST","STATE","TEMP","VISIBLTY","WEATHER","TRNSPD","TYPSPD","TRNNBR","TRNDIR","TONS","TYPEQ","EQATT","TRKNAME","TRKCLAS","TRKDNSTY","TYPTRK","RRCAR1","CARNBR1","POSITON1","LOADED1","RRCAR2","CARNBR2","POSITON2","LOADED2","HEADEND1","MIDMAN1","MIDREM1","RMAN1","RREM1","HEADEND2","MIDMAN2","MIDREM2","RMAN2","RREM2","LOADF1","LOADP1","EMPTYF1","EMPTYP1","CABOOSE1","LOADF2","LOADP2","EMPTYF2","EMPTYP2","CABOOSE2","EQPDMG","TRKDMG","CAUSE","CAUSE2","CASKLDRR","CASINJRR","CASKLD","CASINJ","ACCAUSE","ACCTRK","ACCTRKCL","HIGHSPD","ACCDMG","DUMMY2","STCNTY","TOTINJ","DUMMY3","TOTKLD","ENGRS","FIREMEN","CONDUCTR","BRAKEMEN","ENGHR","ENGMIN","CDTRHR","CDTRMIN","JOINTCD","REGION","DUMMY4","TYPRR","DUMMY5","RRDIV","METHOD","NARRLEN","DUMMY6","YEAR4","RREMPKLD","RREMPINJ","PASSKLD","PASSINJ","OTHERKLD","OTHERINJ","COUNTY","CNTYCD","ALCOHOL","DRUG","DUMMY7","PASSTRN","SSB1","SSB2","NARR1","NARR2","NARR3","NARR4","NARR5","NARR6","NARR7","NARR8","NARR9","NARR10","NARR11","NARR12","NARR13","NARR14","NARR15","RCL","Latitude","Longitud","SIGNAL","MOPERA","ADJUNCT1","ADJUNCT2","ADJUNCT3","SUBDIV"
,"14","08","INRD","644191",,,"","","14","08","INRD","644191",,"","14","08","12",5.00,30.00,"PM","01",0.00,0.00,0.00,0.00,"","SWITZ CITY","88","18",78.00,"2","2","003","R","HWSA","1",5000.00,"1","Y","BLS SW00102","1","","1","DTTX","743724","026","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,51.00,0.00,5.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,15000.00,80000.00,"H704","H702",0.00,0.00,0.00,0.00,"H704","1","1","003",95000.00,,"18C055",0.00,"000000",0.00,"1","0","0","0","02","30","","","1","4",,"3L",,"","",205.00,,"2014",0.00,0.00,0.00,0.00,0.00,0.00,"GREENE","055","","","","N","OTH",,"ENGINEER STARTED TO PULL TRAIN AHEAD WHEN HE WAS RADIOED TO STOP, CARS ON GROUND. INVESTIGATION FOUN","D THREE CARS ON GROUND. ALSO FOUND PREVIOUS CREW POSSIBLY LINED SWITCH WRONG WHICH CAUSED THE DERAIL","MENT.","","","","","","","","","","","","","0",39.03,-87.04,"2","2","","","","INDIANAPOLIS"
,"14","08","BNSF","CA0814111",,,"","","14","08","BNSF","CA0814111",,"","14","08","13",7.00,15.00,"PM","01",0.00,0.00,0.00,0.00,"","SAN DIEGO","","06",78.00,"2","1","009","R","YSDG","3",0.00,"7","Y","9802","1","","2","TTGX","982348","023","N","","","000","",4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,2.00,0.00,0.00,1.00,0.00,2.00,0.00,0.00,27777.00,12000.00,"T112","",0.00,0.00,0.00,0.00,"T112","2","1","009",39777.00,,"06C073",0.00,"000000",0.00,"1","0","1","1","03","16","03","16","1","7",,"1L",,"","",143.00,,"2014",0.00,0.00,0.00,0.00,0.00,0.00,"SAN DIEGO","073","","","","N","OTH",,"Y-SDG2321-13 DERAILED 3 ARTICULATED RAILCARS WHILE PULLING OUT OF YARD TRACK 9802 DUE TO TRACK WIDE","GAGE. NO HAZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","0",32.69,-117.15,"2","5","","","","SAN DIEGO"
,"14","08","BNSF","KS0814107",,,"","","14","08","BNSF","KS0814107",,"","14","08","29",9.00,30.00,"PM","01",1.00,1.00,0.00,0.00,"","HUTCHINSON","","20",80.00,"4","1","007","E","YHUT","3",0.00,"7","Y","110","1","","2","BNSF","482802","009","N","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.00,0.00,12.00,0.00,0.00,1.00,0.00,12.00,0.00,0.00,96531.00,337543.00,"H504","",0.00,0.00,0.00,0.00,"H504","2","1","007",434074.00,,"20C155",0.00,"000000",0.00,"0","0","1","1","","","06","","1","6",,"1L",,"","",142.00,,"2014",0.00,0.00,0.00,0.00,0.00,0.00,"RENO","155","00","00","","N","OTH",,"RCO Y-HUT2422-29 DERAILED 13 CARS WHILE SHOVING YARD TRACK 107 DUE TO EXCESSIVE BUFFING OR SLACK ACT","ION. NO HAZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","3",38.04,-97.87,"2","5","L","","","LAJUNTA"
,"14","08","BNSF","NE0814103",,,"","","14","08","BNSF","NE0814103",,"","14","08","13",2.00,13.00,"AM","01",1.00,1.00,0.00,0.00,"","OMAHA","","31",70.00,"4","1","005","E","HGAL","3",4829.00,"1","Y","153","1","","2","NDYX","822866","076","N","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,40.00,0.00,0.00,1.00,0.00,6.00,0.00,0.00,26300.00,303500.00,"H307","H702",0.00,0.00,0.00,0.00,"H307","2","1","005",329800.00,,"31C055",0.00,"000000",0.00,"0","0","0","1","","","","","1","6",,"1L",,"","",198.00,,"2014",0.00,0.00,0.00,0.00,0.00,0.00,"DOUGLAS","055","00","00","","N","OTH",,"H-GALLIN1-11 DERAILED 7 CARS AND CAUSED SIGNIFICANT TRACK DAMAGE WHILE SHOVING INTO YARD TRACK 153 D","UE TO FAILURES TO CONTROL SHOVE MOVEMENT/RUN THROUGH SWITCH. NO HAZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","0",41.24,-95.91,"2","5","L","","","OMAHA"
,"14","11","FEC","D147111214",,,"","","14","11","FEC","D147111214",,"","14","11","12",3.00,0.00,"AM","01",0.00,0.00,0.00,0.00,"","JACKSONVILLE","7","12",60.00,"4","1","007","E","JOB","1",0.00,"7","Y","C-1 EXTENSION","1","","2","TTGX","985597","075","N","","","000","",1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,40.00,0.00,37.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,7598.00,26012.00,"T309","",0.00,0.00,0.00,0.00,"T309","2","1","007",33610.00,,"12C031",0.00,"000000",0.00,"1","0","1","0","05","","05","","1","3",,"2",,"","",202.00,,"2014",0.00,0.00,0.00,0.00,0.00,0.00,"DUVAL","031","","","","N","OTH",,"WHILE DOUBLING A CUT OF CARS, CREW SHOVED OUT OF A TRACK (SOUTH) TO A COUPLING.  AFTER THE COUPLING","WAS MADE, THEY PULLED NORTH WHEN FOUR CARS DERAILED AT A SWITCH.  NO PERSONAL INJURIES WERE SUSTAINE","D.","","","","","","","","","","","","","0",30.23,-81.60,"2","5","K","","","SYSTEM"
,"14","08","BNSF","NW0814122",,,"","","14","08","BNSF","NW0814122",,"","14","08","29",3.00,50.00,"AM","12",1.00,1.00,0.00,0.00,"","TACOMA","","53",65.00,"4","1","002","E","","3",0.00,"6","N","107","1","","2","TILX","200325","001","N","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9305.00,0.00,"H318","",0.00,0.00,0.00,0.00,"H318","2","1","005",11505.00,,"53C053",0.00,"000000",0.00,"0","0","0","0","","","","","1","8",,"1L",,"","",176.00,,"2014",0.00,0.00,0.00,0.00,0.00,0.00,"PIERCE","053","00","00","","N","CWR",,"Y-TAC3511-28 EQUIPMENT DAMAGE FROM CARS IMPACTING EACH OTHER DURING SWITCHING OPERATIONS DUE TO INAD","EQUATE PRECAUTIONS WHILE KICKING CARS. NO HAZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","0",47.24,-122.41,"2","5","","","","SEATTLE"
,"14","08","BNSF","NW0814122",,,"","","14","08","BNSF","NW0814122",,"","14","08","29",3.00,50.00,"AM","12",1.00,1.00,0.00,0.00,"","TACOMA","","53",65.00,"4","1","005","E","YTAC","4",0.00,"7","Y","107","1","","2","PROX","030054","005","Y","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2200.00,0.00,"H318","",0.00,0.00,0.00,0.00,"H318","2","1","005",11505.00,,"53C053",0.00,"000000",0.00,"1","0","1","1","05","20","05","20","3","8",,"1L",,"","",176.00,,"2014",0.00,0.00,0.00,0.00,0.00,0.00,"PIERCE","053","00","00","","N","CWR",,"Y-TAC3511-28 EQUIPMENT DAMAGE FROM CARS IMPACTING EACH OTHER DURING SWITCHING OPERATIONS DUE TO INAD","EQUATE PRECAUTIONS WHILE KICKING CARS. NO HAZARDOUS MATERIALS WERE RELEASED.","","","","","","","","","","","","","","0",47.24,-122.41,"2","5","","","","SEATTLE"
,"14","08","IC","824686",,,"","","14","08","IC","824686",,"","14","08","30",5.00,0.00,"AM","12",0.00,0.00,0.00,0.00,"","CHAMPAIGN","127.40","17",80.00,"1","1","008","E","R911","2",0.00,"7","Y","TRACK CA12","1","","2","SIRX","195028","001","N","","","000","",2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41500.00,75.00,"M599","",0.00,0.00,0.00,0.00,"M599","2","1","008",41575.00,,"17C019",0.00,"000000",0.00,"1","0","1","1","05","01","05","01","1","4",,"1L",,"","",760.00,,"2014",0.00,0.00,0.00,0.00,0.00,0.00,"CHAMPAIGN","019","","","","N","OTH",,"R91191-29 WAS SWITCHING A CUT OF 28 CARS FROM CA05. AFTER SWITCHING THE FIRST 19 CARS OFF, THEY KICK","ED CN413723 INTO TRACK CA12. THEY CONTINUED TO KICK CARS TO TRACKS 9A AND 13A. THEN THEY WENT TO KIC","K A CUT OF 3 CARS DESTINED TO TRACK 13A, WITH THE LEADING CAR BEING SIRX 195028. AFTER THE CONDUCTOR","HAD PULLED THE PIN, THE BRAKEMAN NOTICED THAT 12A HAD ROLLED FOUL OF THE LEAD AND SIRX 195028 CORNE","RED THE CN 413723 ACCOUNT IT HAD NOT REMAINED COUPLED AND ROLLED OUT. INVESTIGATION INTO THE INCIDEN","T FOUND THAT WHEN THE CAR WAS FIRST KICKED INTO 12A THE COUPLERS DID NOT LOCK AND WHEN THE CARS SEPA","RATED THE KNUCKLES DID NOT FULLY OPEN. WHEN THEY ROLLED BACK TOGETHER THE KNUCKLES CLOSED EACH OTHER","RESULTING IN THE CAR ROLLING BACK OUT AND FOULING THE LEAD.","","","","","","","","0",40.14,-88.22,"2","5","K","","","CHAMPAIGN"
,"14","08","UP","0814LK013",,,"","","14","08","UP","0814LK013",,"","14","08","17",2.00,28.00,"AM","02",16.00,0.00,0.00,500.00,"","HOXIE","228.6","05",79.00,"4","1","031","R","QNLP","1",9478.00,"1","Y","MAINLINE","4","54.2","1","UP","005070","001","","","","000","",2.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,71.00,0.00,21.00,0.00,0.00,14.00,0.00,0.00,0.00,0.00,2303658.00,0.00,"M505","",0.00,0.00,2.00,2.00,"M505","1","4","045",6184420.00,,"05C075",2.00,"000000",0.00,"1","0","1","0","04","43","04","43","3","5",,"1L",,"","",133.00,,"2014",0.00,2.00,0.00,0.00,0.00,0.00,"LAWRENCE","075","00","00","","N","CWR",,"MASNL-16, TRAVELING SOUTH AT MP229.2, ALLEGEDLY PASSED A SIGNAL DISPLAYING A STOP INDICATION AT MP22","9, STRIKING THE QNLPI-17 HEAD ON.","","","","","","","","","","","","","","0",36.02,-90.99,"1","1","Q","","","HOXIE SUB"
,"14","03","UP","0314RS026","14","03","BNSF","CA0314201","14","03","UP","0314RS026",,"752752A","14","03","26",6.00,20.00,"PM","07",0.00,0.00,0.00,0.00,"","ELK GROVE","48.86","06",60.00,"3","2","000","","","2",0.00,"",,"SINGLE MAIN","4","64.5","1","","","000","","","","000","",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18000.00,"M302","",0.00,0.00,1.00,0.00,"M308","1","4","049",18500.00,,"06C067",0.00,"000000",0.00,"0","0","0","0","","","","","2","7",,"1L",,"","",245.00,,"2014",0.00,0.00,0.00,0.00,0.00,0.00,"SACRAMENTO","067","","","","","CWR",,"BNSF SAC LOCAL LUO21J-26, WITH LEAD UNIT BNSF112,  VEHICLE RAN THROUGH THE GATES AND INTO THE SIDE O","F LOCOMOTIVE AT THE CALVINE ROAD CROSSING, DAMAGING SIGNAL EQUIPMENT. DRIVER OF VEHICLE RECEIVED FAT","AL INJURIES. BNSF ESTIMATED EQUIPMENT = $500.","","","","","","","","","","","","","",38.45,-121.38,"1","1","Q","","","FRESNO SUB"
